show,quality,quality_reason,summary,episodes,seasons
100 Days My Prince,7,"A well-crafted Korean historical romantic comedy with charming lead chemistry, balanced humor and drama, and solid production, though it leans on familiar sageuk tropes and a somewhat convenient plot.","A cold, arrogant crown prince loses his memory after an assassination attempt and ends up living as a commoner, marrying a village woman while adjusting to ordinary life before his royal identity resurfaces.",16,1
11.22.63,7,"A well-crafted limited series anchored by a strong James Franco performance and effective period detail, with taut suspense, though some pacing dips and tonal shifts keep it just short of top tier.","An English teacher discovers a portal to 1960 and undertakes a mission to prevent the assassination of President John F. Kennedy, only to find that the past resists being changed.",8,1
13 Reasons Why,5,"Strong central performances and a compelling first-season mystery structure, but later seasons grow melodramatic and uneven, with controversial handling of its heavy subject matter undercutting its ambitions.","After a high school student dies by suicide, she leaves behind a set of cassette tapes detailing the thirteen reasons that led to her decision, unraveling secrets among her classmates.",49,4
1883,8,"A meticulously crafted Western prequel with stunning cinematography, grounded performances from Sam Elliott and Tim McGraw, and Taylor Sheridan's unflinching, atmospheric writing; its evocative voiceover narration occasionally overreaches.",A prequel to Yellowstone following the Dutton family's perilous journey westward across the Great Plains in the 1880s as they seek a new life on the frontier.,10,1
1899,7,"Ambitious, visually striking sci-fi mystery with strong atmosphere, intricate puzzle-box structure, and a multilingual ensemble, though its deliberate pacing and reliance on enigma over resolution can frustrate.","A multinational group of European migrants aboard a steamship bound for New York in 1899 encounters another vessel that vanished months earlier, unraveling a web of unsettling mysteries that bind the passengers together.",8,1
1923,7,"Lavish production values, strong cinematography, and powerful performances from Harrison Ford and Helen Mirren anchor the series, though pacing can be uneven and some subplots feel stretched.","A prequel to Yellowstone, the series follows an earlier generation of the Dutton family as they battle drought, economic hardship, and Prohibition-era violence while struggling to hold onto their Montana ranch.",16,2
1992,6,"An Italian period political drama with strong production values and atmospheric storytelling, anchored by solid performances, though its dense web of characters and historical detail can be hard to follow for those unfamiliar with the era.","Set against the backdrop of Italy's Mani Pulite (Clean Hands) corruption investigations in 1992, the series follows a group of disparate characters whose lives intertwine amid the political and social upheaval that reshaped the country.",10,1
21 Jump Street,5,"A competent late-80s procedural that launched Johnny Depp's career and tackled topical teen issues, but the acting and writing are uneven and dated, ranging from earnest to formulaic.",A group of youthful-looking police officers go undercover in high schools and colleges to investigate crimes involving young people.,103,5
3 Body Problem,7,"Ambitious adaptation with strong production values, compelling visual sequences (like the VR game and the ship sequence), and solid performances, though it occasionally streamlines and softens the dense source material.","Spanning decades and continents, the series follows a group of scientists confronting a mysterious threat tied to a countdown of unexplained deaths and a strange virtual-reality game, as humanity grapples with the implications of first contact with an alien civilization.",8,1
30 Rock,9,"Razor-sharp, joke-dense writing with an absurdist sensibility, anchored by stellar comedic performances from Tina Fey and Alec Baldwin and impeccable comic timing throughout its run.","A neurotic head writer of a live New York sketch-comedy show juggles her eccentric cast, demanding network executive, and chaotic personal life.",138,7
